ID,Message,NS,NNS
266,"Hi, I think that you do a fantastic job on DELSORT. However, I was just wondering if, when you add to Schools, whether you would be good enough to add them to the appropriate section, please?",0,0
267,"Thanks! By the way, have you sent anything to Maggie since you received the email from the photographer?",1,1
268,"How can I join, by the way? And is there a Welcoming Comittee userbox?",1,-1
269,"Do you have ""remember me"" set in IE? If not are you using the login link?",0,0
270,"That was awfully quick, considering that it was open for less than 12 hours. Since I must now do them individually, must they be considered ""Second Nominations"" if I put them up again?",-1,0
271,"And, by the way, shouldn't there have to be actual copyright VIOLATIONS (not just a lack of a machine-readable tag) to delete a photograph? Or are we so concerned with making our project bot-friendly that it doesn't matter if we lose really great images in the process?",-1,-1
272,"I was checking out the article on the Unitarian Society in Fall River that you contributed to, and there's a lot that was wrong. I want to reconcile what you know with what I know so we can get this article right... a little help here?",0,-1
273,"Hello <name>! Since you are experienced in ''botovodstvo'', could you help us with the issue <url>?",1,1
274,So it seems we both already know the problems with the current logo and the SVG one. What can I do to help you?,1,1
275,Um. Thanks?,0,0
276,"So ''Junanci'' means ""Greeks""? In which language?",0,0
277,"If the Russia tricolor is not the flag of the Lokot Autonomy, than what is? Is the flag even available on Wikipedia?",0,0
278,"That's still not the original source, and after searching through a few pages on Flickr, I'm assuming the original is all rights reserved anyway. Can I ask why you believe it is public domain?",0,0
279,It seems <url> has tagged the following baiting articles <url> <url> <url> and <url> with a delete tag out of spite. It there a way to remedy this type of poor behaviour ?,0,0
280,"Wikipedia is not IMDb, which can easily be used (and is more suited) to providing complete soundtrack listings for pretty much every movie ever made. Would you care to address any of the other points I've brought up?",-1,0
281,<name> I find this conversation remarkable given that you have twice opted to edit war over referencing format to the detriment of an article's quality in the last 24 hours on <url>. What gives?,-1,0
282,I added mention of the river. The info for <url> says the picture was taken in <url>; is that city located on the river?,0,0
283,"I might have just done a wrong revert on this art - what do you think? Small cf Singapores Changi maybe - but, ...?",1,0
284,And <url> targets <url>. Shouldn't it go to <url>?,0,0
285,Where are the actual findings of fact and sanctions in Haiduc's case? Do they need to be tweaked?,0,0
286,"Nice work so far on your rewrite of ""The One After the Superbowl"". Are you planning on including info about the Diet Coke fiasco?",1,1
287,"Oh I know, but I think that's a ''problem''. Unless there is some other cat for modem companies?",0,0
288,I'm with you - it really is a friggin' pain that people refuse to read no matter how big you put the text. Should we just maybe remove the source entirely?,0,1
289,"Hmmm, you are basically asking me to think positively despite evidence and knowing that over this issue none good faith on part of some users was showed in past, but ok, letxb4s see how it goes. The question then is: do you consider including the discussions with outside mediation participants that happend on those talk-pages (direktor, for exemple, has been very active and enthusiastic there lately) or only the in-mediation discussions are the ones that count?",-1,0
290,Noticed your nice ''<url>'' photograph. Perhaps you were on the Siruvani bird survey ?,0,0
291,"The problem remains that I don't know where to turn to educate myself further on the matter. For instance, where would I find the Tao-Green paper you mention in the article?",1,0
292,I saw that page but was not sure if it had anything to do with any of the articles we are working on? or was this a general issue?,0,0
293,"<name>, you didn't reply to my message and my email. One question: if the church was built after 1700 but later ruin, for instance ruined by Beria order in 30s, can it be considered Contemporary?",-1,-1
294,"Hi <name> - I've been noticing your sig on WP:CFD... this is probably something you know all about but... you do know about being able to use four tildes (<nowiki>~~~~</nowiki>) to sign, don't you? Or have you done some fancy trick with your signature to stop it linking back to your user page?",0,-1
295,Hi. Is there any chance of getting <url> unblocked from making edits on Wikipedia?,1,0
296,"- millions of people are using it to get help our service is free of charge. Since it's a tech support site you can't claim that it's not related to the article either (if you disagree with that just google for ""consumer electronics tech support"" see who comes first).We are here to server the community - why do you find it so offensive?",-1,-1
297,"Why am I never asked to write a feature. Is it because ""I is black""?",-1,-1
298,"I'm sorry, I'm having trouble understanding your question. Could you try again?",2,2
299,I put plural women because in the storylines it states he falls for Detective Graves. He also hits on another older woman <url> but that wasn't notable enough to include.. is it best to keep it singular?,0,1
300,"So I got rid of it. Have a little faith in my good judgment, okay?",-1,-1
301,"My edit on <url> was written by me, not copied from a forum. Out of curiousity, which forum copied my post on Wikipedia?",1,0
302,"Hi, I made on comment on the image page about this being different than Sbarro3 image. Please... comment?",0,0
303,"What you linked to looks good, but what was I supposed to compare it with again? Got a link?",0,0
304,"Hi, thanks for moving three of the Brussels municipalities. Could you move <url> to <url> as well?",1,1
305,"My question is ""Why?"" I am doing all the citations correctly and this still appears often. Can anyone tell me what I'm doing wrong?",0,-1
306,"Hi, you recently edited that the Independence Hall was once the tallest building in Philadelphia on the <url> article. Do you have any source that supports this?",0,0
307,"You may not remember doing this but, you erased a page entitled, Earl Newton. Why did you do it?",-1,-1
308,"Ok. Thank you for clarifying. Could you be more specific as to what you are specifying as ""the claim"" so that I may find relevant information to refute?",0,1
309,"The review has been up there for something like six weeks, I notice. Think you'll be able to take care of those last couple of things?",0,0
310,That user <url> moved <url> page for no reason and I do not understand why it was moved or why a persistent vandalist like this was allowed to move it. Is there anyway at all to get it moved back and that user permanently banned?,-1,0
311,"Do you mind if you tell me why do you add duplicate links to the article? More specifically, why do you add internal links to the See Also sections when those links are already in the article navbox?",0,0
312,"I presume you haven't obliterated them completely, because that would be to be editorialise enormously. Where have you put them instead?",-1,0
313,"I replied... also, are you watching that page? If so, I will stop bothering you here?",-1,0
314,"<url> is telling me that your talk page and <url> supposedly both link there, but I can't find them for the life of me. Any ideas?",0,0
315,I am not sure why <url> is not just in the article <url> as a straight table. Is there some chance the template might be used on another article?,0,0
316,"You are so right, <url> looks to be blatant advertising. Why don't you put it up for <url>?",0,0
317,Oosterman is hardly the world's foremost expert on Hyper-Calvinism. Can you cite any scholars or experts who support your thesis?,-1,0
318,"When creating <url>, I also had to create <url>, <url> and <url>. I was wondering if you could populate them?",1,1
319,You recently attached a <nowiki><person></nowiki> tag to an article about an Azeri poet. May I ask why?,0,1
320,You may want to look at the nomination. What did you intend to do?,0,0
321,The notion that a hunter would kill dozens of birds with a single shot seems outlandish to me. Do you have a reference for this?,-1,0
322,I have applied to become an admin but no one has voted? Why is this?,0,-1
323,"Thank you for coming in, reading what is there, and saying what I mean in terms better than what I'm using. What is the next step - doing an official call for opinions?",0,1
324,"The link to Sciencedude by Gary Robbins: Obituary of Joel Hedgpeth, which I believe you added, no longer includes the obituary. Can you up-date the link?",0,0
325,"Do you have any thoughts on renaming the page to reflect that the notability (and most of the content) is about the labor dispute/takeover, etc. than the company itself?",0,0
326,Since you already had the filmography listed I cut some films from the intro which you didn't tell much else about. Are you happy with my changes?,0,0
327,"Hi GW.. I was a bit bored today, so I made this: <url>.. What do you think so far?",0,0
328,<url> is fooling around with the Rubinstein and Horowitz articles again. Is there a way to get him banned?,0,-1
329,"Okay - later tonight (I'm a bit busy right now), I'll restore them for... hm. Will three days be long enough for you to copy the information?",0,0
330,"Hey, if you took this picture you can release it into the public domain. If not, do you know who took it?",0,0
331,I would like to create a few plots. Where can I access the geologic temperature record raw data?,0,1
332,"Like most users with their articles screwed over by <url>'s new web facelift, I'm at a lost with <url> being dead. Can you help?",0,0
333,"You deleted this, but somehow it still shows up on the parent category's page <url>. Is this normal and/or can you fix this?",0,0
334,You know there's no excuse for the edits you're making related to your position at <url>. This has to go to <url>; would you like to make the report?,-1,-1
335,Your bot has ruined the formatting on ref 2 in <url>. Would you care to either call off the bot or suggest an alternate formatting that will work better?,-1,-1
336,"Excellent, thank you! Can you also delete the <url> from en and move hooks from the <url> to <url>?",1,1
337,Could you please block me indefinitely. If you can't then what do I need to do to get blocked indefinitely?,-1,-1
338,"I've noticed that you're engaged in several edit wars, with Meliniki, regarding minor alterations to multiple Greek language articles. Perhaps you should consider discussing the changes on Meliniki's <url> instead?",0,1
339,"Hello, I and a few others have made many edits to <url>. Do you have any more comments and can you be persuaded to change your vote?",0,0
340,"It isn't clear to me that he knew WHO Amorrow was, someone has left a message that will hopefully set him straight. Do you have a link to the blog?",0,0
341,"Hi, I hadn't realized that you had made a revert on redirecting this. Could you see my comments on <url>?",0,0
342,"No, I said that targetting images merely because of their uploader would be considered wikistalking- I explicitly said I did not want to accuse anyone of anything. Which images do you feel have been tagged incorrectly?",-1,-1
343,You've contributed a lot to Puget Sound area articles. Would you be willing to take a look at the debate I'm having at <url> and do whatever you think is best?,1,1
344,Something's still not right with me here. Think you can perform one of those cleanups?,0,-1
345,"No problem, It was open and shut <url> issue. For your next project can you find something that doesnt make your fanclub at the Wikipedia Review angry?",-1,-1
346,"Hi <name> - this would be a fine article, but its already pretty fleshed out - do you have a specific sub-topic regarding propaganda films that you'd like to write about? Have you found some research about propaganda films that you'd like to synthesize?",0,1
347,"On that topic, not every DOS game on Wikipedia has a screenshot. Do you plan on taking any yourself?",0,0
348,"Hello - someone moved <url> to a new title with diacritics - and a hyphen, which nobody in the talk page had ever discussed. How does one undo that?",0,0
349,"As I wrote above, at first I thought lets keep it, but after I heard some arguments, and when I made analysis of my own, I got to my conclusion. What's yours?",0,0
350,"Per <url>, there was an autoblock affecting your editing that has now been lifted. Can you edit freely now?",1,0
351,"I am an administrator on this project and my task is to enforce these rules. Now, will you cooperate or will I have to block you?",-2,-1
352,I though it's better like that. Can you revert it?,0,0
353,Hmm...it appears to be an infobox at the moment and lacking in any content other than that. Have you done a search for the battle at all?,-1,-1
354,"Hey, did you ever read over the material I laid out for you - content as well as ideas for organization of an article? Any feedback?",0,-1
355,"When JaGaBot updated the monthly challenge winners on <url>, it stripped the image. Could the bot be fixed to leave the image?",0,0
356,"Hi, I noticed on <url> you mentioned its Alexa traffic rank. How do you find out the Alexa traffic rank of something?",1,0
357,"In the <url> article, is polar mount correct? It might be improved by a bit more detail about how it works, perhaps?",0,1
358,"What exactly are the rules on this page? Can stuff be added without discussion and ""consensus""?",0,0
359,I noticed your nice improvements to <url>. Are you thinking of merging/redirecting <url> to that article?,1,1
360,I thought we had all agreed that the lead is fine as it is. What is the sentence supposed to mean?,-1,-1
361,"Yes, this is a nice illustration. I'd love to have a look of the code; is it possible for you to mail it to me?",1,1
362,"Sorry for the slow reply, something I needed to take care of. <url> is restored- if it is mentioned in such <url>, could you please <url> them in the article?",1,1
363,"Also, I undid the recent move to Eris, pending some discussion. Maybe you'd like to support/oppose the move?",0,0
364,Where did you get the tracklist for the album? Can you please drop me a messafe with the link?,0,0
365,Is as usual being overrun with pointless blather. Would you like to set up a subpage to discuss sources?,0,0
366,I feel <url> is a personal attack against me. Can you please remove it for me per <url>?,-1,0
367,I note that you've edited since this was brought up here. Could you please respond?,0,0
368,"Yet you did violate <url> and could be blocked right now. If that edit recurred, would you revert it again?",0,0
369,"As to our last discussion, you said that <url> wasn't comprehensive enough and didn't show clearly its goal. Do you have any suggesting to improve this template?",0,0
370,Can you look at this page <url> and tell me what you think. It has the vandal picture but wasn't edited today?,0,0
371,There's an interesting discussion here: <url>. Care to explain?,0,0
372,"Hello, I noticed you recently did a lot of work on the ''<url>'' page. I was wondering if you know of the origin of the word ""Nassarius"" - its etymology/ what is it named after?",1,0
373,Ok I've moved <url> back to <url>. <name> you want to write something on the talk page about the move?,0,0
374,"I see you've added <url> to the category ""Jewish-Canadians"". What is your source for this?",0,0
375,"I thought that I should tell you that I created a new SVG version of the Wikipedia logo, located <url>. It has a few problems, could you help me with it?",1,1
376,I must be missing something here. Would you mind clarifying for me the nature of your extensive work on <url>?,0,1
377,"Alistair, you have only undone the autoblock; you haven't unblocked the account yet. Could you do that, please?",-1,0
378,I don't know why claim that you reverted vandalism (rv edit summary) when to me they appeared to be good faith edits. What exactly was the vandalism?,-1,-1
379,Do you mean article edits with sock puppets? Could you give me more precise examples?,0,0
380,I see that you don't have an account linked to the Wikipedia email. Would you be able to send me a message so that we can talk off Wikipedia?,1,1
381,"You are correct that the science is not copyright, but the purpose of the cite is <url>. If I want to check your equation, where should I look?",0,0
382,And wasting our time as well. I can only repeat: why don't you do constructive work by adding contents about your beloved Makedonia?,-2,-2
383,"There is a recommendation on the talk page of the ""<url>"". What do you think of it?",1,0
384,"I removed that second paragraph entirely, since the information is covered in the article. Do you feel that the lead should be larger?",0,0
385,All allegations currently in the article should have sources. Can you indicate which ones do not?,0,0
386,I noticed that you have a little note at the top saying your status. How do you do that?,1,0
387,Why are capital letters used in the article title ''<url>''? Is this a proper name of a particular proprietary software package?,0,0
388,"Are you saying that Scotty was being ""hot-headed""? If so, can you please tell us what Scotty did that was ""hot-headed""?",0,0
389,So how come he can have all types of slandereous links on his wiki page? Don't you think being an admin you should delete them?,-1,-1
390,I noticed you removed Pero Defformero from the list of folk metal bands and artists. What is the problem with this band?,0,-1
391,"So, now that it's clear there's no moratorium, you now think it's controverial? Can you explain why?",-1,-1
392,<name>- I don't know if you saw my reply on my talk page. Are you interested in being my mentor for the GU De-Ba'athification article?,1,0
393,"My user page is semi-protected, and the vandals are blocked. Do you want to semi-protect my talk for me please?",0,0
394,pls see my comments on your revert on the talk page. Perhaps you'll consider undoing my revert?,0,0
395,"Also - for some reason images on image pages now appear in full size when I view them, rather than more convienient viewing sizes. Do you know how I can fix this?",1,0
396,The deletion review page linked above contains all the instructions for requesting a review. Why did you not read these instructions?,-1,-1
397,Interesting illustration on the PrIze law page of a Zeppelin taking a Norwegian vessel as a prize in 1917. I wonder whether you could point me to a source for more information on this incident?,1,1
398,"Your comment about ""the additions were left intact as a courtesy"" sounds a bit strange to me. Maybe you should read <url>?",-1,0
399,"Can I use a manga image colored by myself? There won't be any problems with the lisense, right?",0,0
400,"Hello, <name>. Would you weigh in on the above linked discussion regarding an edit you made?",0,0
401,"Hi, I saw you protected <url> (<url>, <url>, <url>). In light of their signing to <url>, their <url>, <url>, and <url> <url> <url>, would you mind unprotecting it so I can give it a better treatment?",1,1
402,"Hello <name>! If you have time, could you add a <url> infobox (with census data) for <url>?",2,1
403,"Why tag for deletion? It was obviously a new user's attempt at creating a disambiguation page, why not clean it up?",-1,-1
404,"Sorry, but i do not find ""double torpedo tunnels"" to be very good. Can you come up with something better?",-1,0
405,"Why the removal of the citation dealing with coriolis? Was the proof not within the citation, or was the citation not considered primary?",0,0
406,Have you received the 1972 Encyclopedia of PNG you mentioned during the discussion about <url>? Was there a detailed entry for Dagora?,1,0
407,"My page now has a template of ""multiple issues"", but I have put in several references, and there are links to other pages. What more should I do?",0,0
408,Do you feel that you've had success in forming consensus here within your knowledgebase? What do you feel are the underlying reasons behind your current ban from Wikipedia?,0,0
409,"And what, may I ask, is ''your'' relationship to Hammersoft? How did you come upon this matter?",-1,0
410,So far there are four editors on <url> who have called you on your edit-warring. Would you please stop?,-1,-1
411,"I have found a better citation for reference 7, but am not sure how to insert the page number (p. 97 from the book cited). Do you know the right format for this?",1,0
412,I noticed you just removed this category from <url> and <url>. Why don't you think they qualify as historical films?,0,-1
413,"Could you do me a huge favour, but only if you want to, because I know it's a lot to ask. Could you do the Peer Review for ''Loud'' by any chance?",1,2
414,"Hi - I noticed the same, and was wondering how you do it! I've been trying to get <url> next to my name by default and I can't seem to manage it... any help?",1,1
415,Are you saying that Racepacket attempted to contact Laura's employer? When and where did this happen?,0,-1
416,"Hey, can you block this moron from editing the IIHF Page? Or what can i do in such cases?",-2,-1
417,You made three other edits to the <url> article on 25 November 2007. Can you explain why?,0,-1
418,"I hope I am now signed on and you remove the erroneous vandalism report. Don't you think it would be more politic to send a message with a question than to preemptorily declare an edit ""vandalism""?",-1,-1
419,We are working on adding some information regarding the significance of the podcast. Do you have any additional tips on improving out article's quality?,1,1
420,I will endeavour to be (cant think of antonyms) non-combative and kind. Will you give me a particular example of what I wrote and what I should have written?,0,0
421,Unfortunately the 4chan page you linked to in <url> does not exist now. Can you give a pointer to what is involved?,1,1
422,"You removed the border issue coverage in <url>, and your explanation was that it's covered in another article. Where is it covered?",0,0
423,"All the images are on the right side, which means they sometime clash and push the text away from itself. Have you considered moving some images to the left to stop this?",1,0
424,"Hi, I just couldn't understand <url> ! Could you explain,please ?",1,1
425,Why on earth have you deleted the article on the <url>? Can you please undelete it?,-2,-1
426,"He's still at it, and stating that we can't stop him as he has not got a static IP. Can you at least block him for now?",-1,-1
427,"If it's not clear, I am asking for a '''quote from your source''' which supports the statement which you inserted into the article with your reference. Can you please supply a quote?",-1,0
428,"Are you there? I just posted YAP, Yet Another Plea, on <url>, might you wish to pitch in with something technical or at least magisterial?",-1,-1
429,"This page is new, the result of a move - the page it moved from is now a redirect to <url>, but the history which goes with it is at the page I asked to be deleted. Can you delete the page, while copying the history over to the article?",0,0
430,"Sorry, I've moved a number of articles and thought I did it correctly. How is moving done properly without losing the edit history?",1,0
431,"I've just seen your message on my Talk page. Why do you want the disambiguation page to be the one that doesn't say ""disambiguation""?",0,-1
432,"Sorry, its not immeadiately obvious why thats a revert. Can you clarify?",1,1
433,"No more saga! Help me by keeping this page the way it is right now, alright?",-1,-2
434,"While editing the COIN page regarding Ciplex, I accidently broke your sig. Since I don't want any more flame, could you please fix it?",0,0
435,"I'm going to have to say that a ""Socionics Institute"" is not going to cut it as a reliable source for notability. Can you come up with a third party?",0,0
436,I don't see the vandalism. Could you show me where it is?,0,0
437,Without information about the source and whether it's a free use or fair use picture it can't be used under the Wikipedia rules. Do you have this information?,0,0
438,"And NO Igor, discuss edits with ME please. Are you proposing to discard the mentorship agreement?",-2,-2
439,I see that you have made an edit to another page since posting the request for IP block exemption. Does that mean the block is no longer in force?,0,0
440,<url> is currently an orphaned article. Can you find some articles to link to 'Christa Behmenburg''?,0,0
441,Why would you doubt that. And for that matter why wouldn't you rewrite it yourself?,-2,-2
442,"Hey, I noticed you protected the article <url> from being recreated. Will you be able to reverse that If I recreate the article with sourced, factual, real world content?",0,0
443,I thought I'd asked you nicely on <url> not to make further attempts at getting your point into the article without trying to find consensus. Could you please address my points on the talkpage before having further tries in the article itself?,-1,0
444,Update is four hours late. Any chance you could post it?,-1,0
445,I've now supplied a free image on <url> (thanks for motivating me to do so!). Could you perhaps consider your reassessment of the article?,1,2
446,"Email checked and responded to. If you can't respond here, could you at least leave me a note to check my email?",-1,-1
447,<url>.. it doesn't really explain what the issue was. Can you word it better?,0,-1
448,I don't see a connection between the <url> and the <url> articles that would warrant See Also links between the two. Could you explain that to me?,0,0
449,"Hi, I reverted vandalism on a couple of your subpages that you transclude in your main userpage. Do you want me to semi-protect them (your subpages) so that it is more difficult for vandals to subtly vandalize you?",1,1
450,"OK, I will do that. But probably we should first set the gallery up on commons - do you know anything about editing/creating there?",0,0
451,"Third: it's August 31 2010. Please check my userpage for reasons why I really don't feel useful today. Ask another admin, okay?",-1,-1
452,"Okay, how about this... Give me five minutes. I'll list all the images you have uploaded, you tell me where they came from, okay?",-1,-1
453,"Thanks. Aside from rewrites and creations (which I've no mind for), anything in particular you see that I should focus on, or is it going okay?",1,1
454,"Right, but not all of it. So can you retrieve it or not?",-1,-1
455,"Also, how does the ""revert all edits"" function work? Mainly, what do I put in the box for the secondary confirmation?",0,0
456,Please explain this <url>. Is there a valid reason why this image was removed?,-1,0
457,Thank you! Could you protect the picture that's live too?,1,1
458,"Yeah, and it will still have been the third to pass the full bit string tests, instead of just the byte tests. :) What's the significance of 2042?",1,0
459,I notice that you are using a very old version of my monobook script. Have you considered updating it?,0,0
460,Reading the guideline again: ''The name of each article (a link to the articles is recommended as well) in which fair use is claimed for the item''. Where does that say I '''need''' a link to the article?,-1,-1
461,"Hello. Since you have contributed to <url> in the past, could you spare a minute to discuss the fate of <url>?",1,1
462,Latest version (now on Commons); all placenames included but still needs some tidying up and tweaking. Comments?,0,0
463,"<name>, I am completely baffled by this, I don't know where you are coming from or what your complaint is, and you are one of the writers that I most often agree with. Can you explain?",-1,-1
464,"I did notice that some articles linked to the ones I worked on are now missing, which leaves a link hanging. If you're going to delete articles, shouldn't someone clean up these broken links?",-1,-1
465,"Can you please explain what the two fields you added to the table at <url> are supposed to mean? What ""reaction""?",0,0
466,"Your <url> give your first edit as on April 9, 2011. Do you have any other account you have not disclosed yet?",0,0
467,The primary meaning is not formatted well here. Care to take a shot at it?,0,0
468,Just curious... Where did it come from? Where did you cut and paste it from?,-1,0
469,I refer you to my last answer about independent sources. Do you have press coverage?,0,0
470,"Hey <name>, I added a rationale to why the project was looking to create its own criteria. Could you take a look at it and see if it changes your mind?",1,1
471,I see you've given her a code name in <url>. Where did you run across this tidbit?,0,0
472,You deleted Ricardo Marinello. What was written in the article?,0,0
473,Commons <url> has been at Deletion Requests since July. Can it be closed now?,0,0
474,"I.m keen to see your recent abbey article on the main page, but there are no references. Can this be fixed?",0,0
475,"I'm somewhat puzzled by your recent edits on the Harper page, which have left two different sets of footnotes. Could you please explain your rationale for the change?",0,1
476,Hello? Whom do I speak to to become a <url>?,0,0
477,"Hello, <name>. What is your response to my suggestion <url>?",0,0
478,As someone who has edited <url> you might be interested to see that it has been suggested for deletion (or some other form of bastardization). Care to join in the discussion?,0,0
479,I have an email from the owner of this image that your BOT deleted. Can you please restore this and I can send in the email granting me permission to post?,0,0
480,I'm not sure what you mean by pointing out that votes were placed before the version you created. Could you elaborate?,0,0
481,"I never received any notification of any deletion proposal, lest I would have contested. Is there any way to find the original proposal and/or artical, or has it just been sent to oblivion?",0,-1
482,"That sounds fine, but why would you want somebody who knows nothing about the show to write them? If you are informed about it, wouldn't you be a good person to do it?",-1,-1
483,"Hi <name>, I created the page which was deleted which I hoped could have been a stub starting point for building up a better and more detailed article about the organisation. Could you offer some advice on how I could have made it better and have avoided deletion?",1,1
484,Have a look at the changes. Do you think they will break anything?,0,0
485,"I'm disappointed that your first response here was to revert me without discussion, and to assert a consensus that was not apparent. Before you choose to revert me again, can you ''please'' participate in the discussion at WT:RD?",-2,-1
486,The main article needs a facelift. Do you want to make suggestions?,0,0
487,"Perfect, thank you! Can you help with the phonetics of other Nordic languages?",2,1
488,It's larger now than the sub-stub previously deleted. Can sources be added to verify the achievements?,0,0
489,"Sorry, I did not know there has been a category before. Can you delete it?",1,0
490,"at the end of the <nowiki><head> </head></nowiki>. Could that be fixed again, please?",1,1
491,"That was nice work you did improving the reference I added. I still have to learn that, can you show me?",1,1
492,"Just noticed that the ""time"" field is eliminated from the collapsable boxes. Could you make this something that is displayed when the box is expanded?",0,1
493,Somebody keeps moving the Shannan Prefecture to Lhoka Prefecture. What is your view on this?,0,0
494,I think the <url> would be more precise and accurate as <url>. What sayest thou?,0,0
495,My contribution tried to show the impression to others I'am only trying to improve spelling. What's the difference between personel and persona?,0,0
496,"Some time ago you uploaded an image of the Knowledge Navigator, which was speedied some time later. Can you upload the file again?",0,0
497,"Your first attempt at doing this also added a <nowiki>""<url>""</nowiki> line to the article, and that's what triggered the bot. Perhaps you should get into the habit of using the 'Show changes button?",0,0
498,"I have also put speedy delete tags on <url> and <url>. Was there any particular reason to move your user/user talk pages to that name, and back again?",0,0
499,"I create <url>, and then I would click ""Move"" on the top of the page I want to merge (for example <url>? Is that how you do it?",1,0
500,"Hey, I just noticed <url>, and something doesn't seem right. What should be done?",0,0
501,"I'm curious, are you stopping at characters? Or will you eventually move onto season pages and the main page itself?",0,-1
502,Looks like <url> (the one missing the side-chain) is unused and doesn't seem useful (due to that structural flaw). Maybe tag it for deletion?,0,0
503,It's a shame that <url> still needs repair. What do you think?,0,-1
504,Either <url> is really misinterpreting the guidelines or I missed out on something. Care to shed light here?,0,0
505,"Hi <name>, I received the photograph from Delft but it's page looks a mess and I can't edit it. Can you, or do you know someone who can, fix it?",0,0
506,Thanks for that - very nicely commented code (rare to see)! It seems to need a table to be set up - do you have the schema or sql for that handy?,1,2
507,These clickable images are great! Can you make one for the 10^-6 to 10^5 range too?,1,1
508,Hi. What was wrong with the Autamata page?,-1,-1
509,"oh, my, how did I get this here twice; trying to do too much at once (what else is new). Can you copy instead a different color?",0,0
510,"I have never heard of the 1933 ""freakish heat flash"" in Coimbra, Portugal. Will you please provide some sources that you used for forming such a conclusion?",0,0
511,"I am the uploader of the hubble pictures. What do I put for the author, description, and the other information?",0,0
512,I would specifically appreciate an outside view at the thread <url>. What do you feel is the appropriate action?,1,1
513,"The article is not about this, at all. Could you explain your logic?",-1,-1
514,"So do I, because, inspite of my 100s of friends and supporters, I'm feeling a little beleaguered and lonely here. If I can hang on in here, can't you at least keep me company?",-1,-1
515,"I dunno, but this one reeks of that banned user <url> - same mark-as-minor edits, same targets. Care for a look at this?",0,-1
516,"Evidently, I don't have enough consciousness, because I haven't the foggiest idea of what you're talking about. Could you tell me?",-1,-1
517,"To be perfectly honest, I really have no idea what you're talking about. Would it not be simpler to just ''add'' a link to the template (if that is indeed what you mean) than to create a potentially offensive and almost certain to be rapidly deleted category?",-1,-1
518,I asked some questions in the Criteria for Inclusion section on 20th Dec but no-one has yet responded. Can you take a look?,0,0
519,An article about a craver named <url> needs some work. Can you clean the article up?,0,0
520,"Listed by designation, new to me? have you a guideline or discussion reference for that?",0,0
521,"This redirect isn't working because the admin who locked the page slapped a template onto it, causing this link to become mundane. Can you fix this puzzling circumstance?",0,0
522,"I'm sorry, but I don't see how my edit makes it harder to find the book. Could you please explain?",0,0
523,"Bingo! Since you've seen the light, now will you stop trying to craft PR statements?",-1,-1
524,"FloraBase has an entry for this, but no other information.<url> Know anything about it?",0,0
525,I tried to create a similar map for Canada but couldn't get a usable output from the site you used for the Australia map. Could you create a Canadian one?,1,1
526,Thanks for change to Hugh de Grandmesnil - I am (It is) very short of refs for that article. Could you suggest one for your addition?,1,1
527,"Hmmm, Dev, Jet123's nom doesn't really count as your second one, right? I can overwrite it?",0,0
528,I went to <url> and couldn't find it. Can you provide a link?,0,0
529,These edits appear to be related to the same issue that caused the page to be protected. Could you please explain why you are doing this?,0,1
530,Did you just revert back to the old article? Or did I do something wrong with the move?,0,0
531,"I have no idea how to explain that succinctly, though I'll probably write a couple of articles on the whole mess soon. Any idea how to incorporate that into the article?",0,0
532,I am trying to figure out the exact definition of <url> however do not have access to Andrews. Could you help?,1,1
533,if i send email to permissions-en@wikimedia.org is the email made public? where is it made public?,0,0
534,Why are you uploading/changing badge files here? Surely you should just upload them to Commons then list the wikipedia version for deletion?,-1,-1
535,"Thank you for telling me. Can you please revert my deletion, for I do not yet know how to do so?",1,1
536,Do you really think it is necessary to do that? Could you not simply take my advice on board?,-1,-2
537,"Actually, that's again a misromanization. Would you ''please'' stop this insanity?",-2,-2
538,I reverted <url> as it complicated my normal routine archiving of all the discussions on my talk page. Could you please refrain from this kind of edit in future?,0,0
539,The large coat of arms is still be commented on. Maybe you can lend a word or two?,0,0
540,"There's nothing in your history besides editing my page, so I'm not sure to what you are referring. What page are you talking about?",-1,0
541,"Why was <url> deleted when it was simply a crop of <url> which is public domain? I'm pretty sure I wrote that on the description page, but if not, can it be restored?",-1,0
542,So the nomination was made by your sock. Could you explain why you choose to use a sock?,0,0
543,I just noticed you've added me as a sock puppet for Blue Sea? Can I ask what led you to this conclusion?,0,0
544,"You added managerial stats but they state Ferguson only managed St.Mirren for 12 games. That's too few given he was there for 4 years, please can you fix?",0,0
545,"I'm trying to install Lupin/Anti-vandal tool, but im stuck. Could you help please?",1,1
546,"I was reading the article reverse overshot wheel, but I can't find anything about the ""reverse"" part. Can you expand this?",1,0
547,Welcome to WikiProject Austria. I'm wondering if you're willing to coordinate the project for a while?,1,1
548,I had a brief look over the editing history of the article and I could only see three reverts. Perhaps this could be checked?,0,1
549,I have attempted to address your concern. Could you take another look at the article?,1,1
550,"I would like to do the same for <url>, a Houston neighborhood. How do I do this?",0,0
551,"You mean ""the higher solubility in the ocean""? Solubility of what?",-1,-1
552,"<url> and <url> are both accounts which have vandalised the article, and both have been created solely for vandalism. I believe they're one and the same; do you know an admin that can take action?",0,0
553,"I'd really like to keep the image, just because it's of a Medal of Honor winner. Is there a way to shrink the table, or another place in the article (Like the Footnotes section) where the image would work?",1,1
554,it is up on their website. Do you know how to put it on the south wales scorpions infobox thing on the wikipedia page?,0,0
